Time_Stamp,Vehicle_ID,Type,Status
22:02:50,1,car,Crossed
22:02:50,3,motorcycle,Crossed
22:02:51,9,motorcycle,Crossed
22:02:54,13,car,Crossed
22:02:54,12,car,Crossed
22:02:54,16,car,Crossed
22:02:55,22,motorcycle,Crossed
22:02:55,20,motorcycle,Crossed
22:02:56,45,motorcycle,Crossed
22:02:58,34,motorcycle,Crossed
22:02:58,46,motorcycle,Crossed
22:02:59,33,motorcycle,Crossed
22:03:00,41,motorcycle,Crossed
22:03:00,39,motorcycle,Crossed
22:03:01,53,motorcycle,Crossed
22:03:02,66,motorcycle,Crossed
22:03:02,68,motorcycle,Crossed
22:03:02,57,motorcycle,Crossed
22:03:03,65,car,Crossed
22:03:04,92,motorcycle,Crossed
22:03:05,79,motorcycle,Crossed
22:03:05,89,motorcycle,Crossed
22:03:07,102,motorcycle,Crossed
22:03:07,104,motorcycle,Crossed
22:03:07,113,motorcycle,Crossed
22:03:08,119,motorcycle,Crossed
22:03:08,108,motorcycle,Crossed
22:03:08,131,motorcycle,Crossed
22:03:09,120,motorcycle,Crossed
22:03:09,121,motorcycle,Crossed
22:03:10,133,car,Crossed
22:03:10,135,car,Crossed
22:03:10,139,motorcycle,Crossed
22:03:10,181,motorcycle,Crossed
22:03:10,150,motorcycle,Crossed
22:03:11,154,motorcycle,Crossed
22:03:11,140,motorcycle,Crossed
22:03:11,180,motorcycle,Crossed
22:03:12,189,motorcycle,Crossed
22:03:12,171,motorcycle,Crossed
22:03:13,186,motorcycle,Crossed
22:03:13,201,motorcycle,Crossed
22:03:14,191,car,Crossed
22:03:14,206,motorcycle,Crossed
22:03:14,198,motorcycle,Crossed
22:03:15,215,motorcycle,Crossed
22:03:16,217,car,Crossed
22:03:16,210,motorcycle,Crossed
22:03:16,222,motorcycle,Crossed
22:03:17,233,motorcycle,Crossed
22:03:17,249,motorcycle,Crossed
22:03:18,235,motorcycle,Crossed
22:03:18,228,motorcycle,Crossed
22:03:19,239,motorcycle,Crossed
22:03:19,242,car,Crossed
22:03:19,254,motorcycle,Crossed
22:03:20,258,motorcycle,Crossed
22:03:20,262,motorcycle,Crossed
22:03:21,265,motorcycle,Crossed
22:03:23,272,motorcycle,Crossed
22:03:24,278,motorcycle,Crossed
22:03:24,283,motorcycle,Crossed
22:03:25,294,motorcycle,Crossed
22:03:26,312,motorcycle,Crossed
22:03:27,319,motorcycle,Crossed
22:03:27,326,motorcycle,Crossed
22:03:27,285,car,Crossed
22:03:28,318,motorcycle,Crossed
22:03:29,334,motorcycle,Crossed
22:03:29,343,motorcycle,Crossed
22:03:29,339,car,Crossed
22:03:30,342,motorcycle,Crossed
22:03:30,345,motorcycle,Crossed
22:03:31,364,motorcycle,Crossed
22:03:31,351,motorcycle,Crossed
22:03:31,352,car,Crossed
22:03:31,353,motorcycle,Crossed
22:03:32,357,motorcycle,Crossed
22:03:33,374,motorcycle,Crossed
22:03:36,387,motorcycle,Crossed
22:03:36,401,motorcycle,Crossed
22:03:37,393,car,Crossed
22:03:38,398,motorcycle,Crossed
22:03:39,396,car,Crossed
22:03:41,410,motorcycle,Crossed
22:03:41,407,car,Crossed
22:03:41,409,motorcycle,Crossed
22:03:43,421,motorcycle,Crossed
22:03:43,425,car,Crossed
22:03:43,444,motorcycle,Crossed
22:03:45,435,motorcycle,Crossed
22:03:45,440,motorcycle,Crossed
22:03:46,438,car,Crossed
22:03:46,453,motorcycle,Crossed
22:03:47,458,car,Crossed
22:03:48,450,car,Crossed
22:03:49,456,motorcycle,Crossed
22:03:49,469,motorcycle,Crossed
22:03:50,467,motorcycle,Crossed
22:03:51,494,motorcycle,Crossed
22:03:52,480,motorcycle,Crossed
22:03:52,470,car,Crossed
22:03:52,473,motorcycle,Crossed
22:03:54,478,car,Crossed
22:03:54,500,motorcycle,Crossed
22:03:54,487,motorcycle,Crossed
22:03:55,505,motorcycle,Crossed
22:03:56,533,motorcycle,Crossed
22:03:56,528,motorcycle,Crossed
22:03:56,523,motorcycle,Crossed
22:03:58,531,car,Crossed
22:03:58,537,motorcycle,Crossed
22:03:59,544,bus,Crossed
22:03:59,563,motorcycle,Crossed
22:04:01,587,motorcycle,Crossed
22:04:01,561,motorcycle,Crossed
22:04:01,562,motorcycle,Crossed
22:04:01,573,motorcycle,Crossed
22:04:02,579,motorcycle,Crossed
22:04:02,602,motorcycle,Crossed
22:04:03,592,motorcycle,Crossed
22:04:03,598,motorcycle,Crossed
22:04:06,609,car,Crossed
22:04:06,613,motorcycle,Crossed
22:04:06,623,motorcycle,Crossed
22:04:06,632,motorcycle,Crossed
22:04:06,631,motorcycle,Crossed
22:04:07,624,car,Crossed
22:04:07,620,motorcycle,Crossed
22:04:07,637,motorcycle,Crossed
22:04:08,639,motorcycle,Crossed
22:04:08,656,motorcycle,Crossed
22:04:08,649,motorcycle,Crossed
22:04:09,643,motorcycle,Crossed
22:04:09,659,motorcycle,Crossed
22:04:09,652,car,Crossed
22:04:10,651,motorcycle,Crossed
22:04:10,653,motorcycle,Crossed
22:04:10,666,motorcycle,Crossed
22:04:11,665,motorcycle,Crossed
22:04:12,670,motorcycle,Crossed
22:04:13,686,motorcycle,Crossed
22:04:13,676,motorcycle,Crossed
22:04:15,677,car,Crossed
22:04:16,688,motorcycle,Crossed
22:04:18,689,motorcycle,Crossed
22:04:18,712,motorcycle,Crossed
22:04:18,725,motorcycle,Crossed
22:04:19,711,motorcycle,Crossed
22:04:20,724,motorcycle,Crossed
22:04:20,731,car,Crossed
22:04:20,727,motorcycle,Crossed
22:04:21,735,motorcycle,Crossed
22:04:23,746,motorcycle,Crossed
22:04:24,754,motorcycle,Crossed
22:04:24,759,motorcycle,Crossed
22:04:24,757,motorcycle,Crossed
22:04:24,762,motorcycle,Crossed
22:04:25,767,motorcycle,Crossed
22:04:26,769,car,Crossed
22:04:26,771,motorcycle,Crossed
22:04:26,772,motorcycle,Crossed
22:04:26,777,motorcycle,Crossed
22:04:27,794,motorcycle,Crossed
22:04:27,782,motorcycle,Crossed
22:04:28,791,motorcycle,Crossed
22:04:30,806,motorcycle,Crossed
22:04:30,818,motorcycle,Crossed
22:04:31,815,motorcycle,Crossed
22:04:31,822,motorcycle,Crossed
22:04:33,832,motorcycle,Crossed
22:04:34,840,motorcycle,Crossed
22:04:35,838,motorcycle,Crossed
22:04:35,862,motorcycle,Crossed
22:04:35,859,motorcycle,Crossed
